CIDR/IP,Sample IP,PTR Record,ASN,ASN Description,Owner
85.217.149.0/24,85.217.149.0,o001.scanner.modat.io,209334,"MODAT-01 - Modat B.V., NL",NL-MODAT-20050118
159.223.217.0/24,159.223.217.0,(no PTR / NXDOMAIN),14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DO-13
161.35.70.0/24,161.35.70.0,(no PTR / NXDOMAIN),14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-161-35-0-0
91.196.152.0/24,91.196.152.0,keiren.probe.onyphe.net,213412,"ONYPHE - ONYPHE SAS, FR",FR-ONYPHE-20221220
91.230.168.0/24,91.230.168.0,abbey.probe.onyphe.net,213412,"ONYPHE - ONYPHE SAS, FR",FR-ONYPHE-20191111
91.231.89.0/24,91.231.89.0,ortega.probe.onyphe.net,213412,"ONYPHE - ONYPHE SAS, FR",FR-ONYPHE-20191111
94.231.206.0/24,94.231.206.0,nairn.probe.onyphe.net,213412,"ONYPHE - ONYPHE SAS, FR",FR-ONYPHE-20200128
195.184.76.0/24,195.184.76.0,tanisha.probe.onyphe.net,213412,"ONYPHE - ONYPHE SAS, FR",FR-ONYPHE-20221109
98.80.4.0/24,98.80.4.0,ec2-98-80-4-0.compute-1.amazonaws.com,14618,"AMAZON-AES - Amazon.com, Inc., US",AMAZON-IAD
64.62.156.0/24,64.62.156.0,scan.shadowserver.org,6939,"HURRICANE - Hurricane Electric LLC, US",HURRICANE-CE2897-4295868A
64.62.197.0/24,64.62.197.0,scan.shadowserver.org,6939,"HURRICANE - Hurricane Electric LLC, US",HURRICANE-CE2897-4E693F5B
65.49.20.0/24,65.49.20.0,(no PTR / NXDOMAIN),6939,"HURRICANE - Hurricane Electric LLC, US",HURRICANE-9
184.105.247.0/24,184.105.247.0,(no PTR / NXDOMAIN),6939,"HURRICANE - Hurricane Electric LLC, US",HURRICANE-11
71.6.167.0/24,71.6.167.0,(no PTR / NXDOMAIN),10439,"CARINET - CariNet, Inc., US",NET-26
89.248.167.0/24,89.248.167.0,(no PTR / NXDOMAIN),202425,"INT-NETWORK - IP Volume inc, SC",NET-2-167
93.174.95.0/24,93.174.95.0,(no PTR / NXDOMAIN),202425,"INT-NETWORK - IP Volume inc, SC",NET-3-95
20.40.216.0/24,20.40.216.0,(no PTR / NXDOMAIN),8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT
