Entry,Sample_IP,PTR,ASN,ASN_Desc,Owner,Abuse_Score,Abuse_Reports,Abuse_Last_Reported,Usage_Type,Abuse_Domain
170.106.180.153/32,170.106.180.153,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,472,2026-08-12T12:29:14+00:00,Data Center/Web Hosting/Transit,tencent.com
170.106.187.106/32,170.106.187.106,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,658,2026-08-12T12:00:07+00:00,Data Center/Web Hosting/Transit,tencent.com
172.161.0.2/32,172.161.0.2,(no PTR),8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",cloud,100,1297,2026-08-12T15:55:46+00:00,Data Center/Web Hosting/Transit,microsoft.com
185.247.137.131/32,185.247.137.131,r4-131-83.monitoring.internet-measurement.com,211298,"DRIFTNET - Driftnet Ltd, GB",UK-DRIFTNET-20180301,100,324,2026-08-12T07:00:21+00:00,Data Center/Web Hosting/Transit,driftnet.io
193.174.89.19/32,193.174.89.19,fb02itsscan02.fh-muenster.de,680,"DFN - Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE",FH-MUE-ITS,100,1508,2026-08-12T15:05:56+00:00,University/College/School,fh-muenster.de
194.187.176.69/32,194.187.176.69,(no PTR),208843,"ALPHASTRIKE-RESEARCH - Alpha Strike Labs GmbH, DE",DE-ALPHA,100,321,2026-08-12T09:40:23+00:00,Commercial,alphastrike.io
194.187.176.103/32,194.187.176.103,(no PTR),208843,"ALPHASTRIKE-RESEARCH - Alpha Strike Labs GmbH, DE",DE-ALPHA,100,333,2026-08-12T12:03:53+00:00,Commercial,alphastrike.io
194.187.176.140/32,194.187.176.140,(no PTR),208843,"ALPHASTRIKE-RESEARCH - Alpha Strike Labs GmbH, DE",DE-ALPHA,100,336,2026-08-12T11:21:55+00:00,Commercial,alphastrike.io
194.187.176.143/32,194.187.176.143,(no PTR),208843,"ALPHASTRIKE-RESEARCH - Alpha Strike Labs GmbH, DE",DE-ALPHA,100,344,2026-08-12T11:09:48+00:00,Commercial,alphastrike.io
194.187.176.198/32,194.187.176.198,(no PTR),208843,"ALPHASTRIKE-RESEARCH - Alpha Strike Labs GmbH, DE",DE-ALPHA,100,348,2026-08-12T12:03:56+00:00,Commercial,alphastrike.io
195.178.110.241/32,195.178.110.241,(no PTR),48090,"DMZHOST - TECHOFF SRV LIMITED, GB",TECHOFF_SRV_LIMITED,100,2130,2026-08-12T16:00:13+00:00,Data Center/Web Hosting/Transit,dmzhost.co
202.125.94.185/32,202.125.94.185,(no PTR),46042,"GUNADARMA-AS-ID - Gunadarma University, ID",GUNADARMA-ID,100,435,2026-08-12T15:54:12+00:00,University/College/School,gunadarma.ac.id
209.38.109.172/32,209.38.109.172,(no PTR),14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DO-13,32,7,2026-08-04T19:06:11+00:00,Data Center/Web Hosting/Transit,digitalocean.com
::1/128,::1,localhost,N/A,N/A,Lookup Failed,0,100,2026-08-12T00:05:44+00:00,Reserved,N/A
